City,Time,Weather,Scraped_At,Time_Clean,Temperature_F,Wind_mph,Humidity_pct,Temperature_C,Wind_kmh,Scraped_Date
"Washington, DC","5:00 pm
Tue, Jan 20",Sunny.,2026-01-20T16:29:19.259716,"5:00 pm
Tue, Jan 20",29,9,22,-1.7,14.5,2026-01-20
"Washington, DC",6:00 pm,Clear.,2026-01-20T16:29:19.447260,6:00 pm,28,8,26,-2.2,12.9,2026-01-20
"Washington, DC",7:00 pm,Clear.,2026-01-20T16:29:19.622567,7:00 pm,25,7,32,-3.9,11.3,2026-01-20
"Washington, DC",8:00 pm,Clear.,2026-01-20T16:29:19.769190,8:00 pm,24,7,35,-4.4,11.3,2026-01-20
"Washington, DC",9:00 pm,Clear.,2026-01-20T16:29:19.874841,9:00 pm,22,6,38,-5.6,9.7,2026-01-20
"Washington, DC",10:00 pm,Clear.,2026-01-20T16:29:20.034453,10:00 pm,22,6,39,-5.6,9.7,2026-01-20
"Washington, DC",11:00 pm,Clear.,2026-01-20T16:29:20.188679,11:00 pm,21,4,41,-6.1,6.4,2026-01-20
"Washington, DC","12:00 am
Wed, Jan 21",Clear.,2026-01-20T16:29:20.301830,"12:00 am
Wed, Jan 21",20,2,43,-6.7,3.2,2026-01-20
"Washington, DC",1:00 am,Clear.,2026-01-20T16:29:20.502007,1:00 am,19,1,46,-7.2,1.6,2026-01-20
"Washington, DC",2:00 am,Clear.,2026-01-20T16:29:20.709707,2:00 am,17,2,49,-8.3,3.2,2026-01-20
"Washington, DC",3:00 am,Clear.,2026-01-20T16:29:20.919855,3:00 am,17,3,52,-8.3,4.8,2026-01-20
"Washington, DC",4:00 am,Clear.,2026-01-20T16:29:21.155674,4:00 am,18,4,50,-7.8,6.4,2026-01-20
"Washington, DC",5:00 am,Clear.,2026-01-20T16:29:21.326539,5:00 am,19,4,47,-7.2,6.4,2026-01-20
"Washington, DC",6:00 am,Clear.,2026-01-20T16:29:21.455554,6:00 am,19,5,47,-7.2,8.0,2026-01-20
"Washington, DC",7:00 am,Clear.,2026-01-20T16:29:21.646087,7:00 am,18,5,50,-7.8,8.0,2026-01-20
"Washington, DC",8:00 am,Sunny.,2026-01-20T16:29:21.838341,8:00 am,18,6,51,-7.8,9.7,2026-01-20
"Washington, DC",9:00 am,Sunny.,2026-01-20T16:29:22.018888,9:00 am,24,7,44,-4.4,11.3,2026-01-20
"Washington, DC",10:00 am,Sunny.,2026-01-20T16:29:22.222436,10:00 am,29,9,38,-1.7,14.5,2026-01-20
"Washington, DC",11:00 am,Scattered clouds.,2026-01-20T16:29:22.485141,11:00 am,34,10,31,1.1,16.1,2026-01-20
"Washington, DC",12:00 pm,Partly cloudy.,2026-01-20T16:29:22.566873,12:00 pm,37,11,25,2.8,17.7,2026-01-20
"Washington, DC",1:00 pm,Mostly cloudy.,2026-01-20T16:29:22.735940,1:00 pm,38,12,22,3.3,19.3,2026-01-20
"Washington, DC",2:00 pm,Partly cloudy.,2026-01-20T16:29:22.906693,2:00 pm,40,12,21,4.4,19.3,2026-01-20
"Washington, DC",3:00 pm,Broken clouds.,2026-01-20T16:29:23.093330,3:00 pm,41,12,21,5.0,19.3,2026-01-20
"Washington, DC",4:00 pm,Mostly cloudy.,2026-01-20T16:29:23.236970,4:00 pm,41,12,23,5.0,19.3,2026-01-20
"Washington, DC","11:00 pm
Sun, Feb 8",Clear.,2026-02-08T22:28:35.514077,"11:00 pm
Sun, Feb 8",18,8,49,-7.8,12.9,2026-02-08
"Washington, DC","12:00 am
Mon, Feb 9",Clear.,2026-02-08T22:28:35.722424,"12:00 am
Mon, Feb 9",17,7,49,-8.3,11.3,2026-02-08
"Washington, DC",1:00 am,Clear.,2026-02-08T22:28:36.015540,1:00 am,17,6,49,-8.3,9.7,2026-02-08
"Washington, DC",2:00 am,Clear.,2026-02-08T22:28:36.339873,2:00 am,16,6,50,-8.9,9.7,2026-02-08
"Washington, DC",3:00 am,Clear.,2026-02-08T22:28:36.575397,3:00 am,15,5,51,-9.4,8.0,2026-02-08
"Washington, DC",4:00 am,Clear.,2026-02-08T22:28:36.809943,4:00 am,14,4,53,-10.0,6.4,2026-02-08
"Washington, DC",5:00 am,Clear.,2026-02-08T22:28:37.073042,5:00 am,13,3,54,-10.6,4.8,2026-02-08
"Washington, DC",6:00 am,Clear.,2026-02-08T22:28:37.330086,6:00 am,12,3,55,-11.1,4.8,2026-02-08
"Washington, DC",7:00 am,Clear.,2026-02-08T22:28:37.578149,7:00 am,11,3,57,-11.7,4.8,2026-02-08
"Washington, DC",8:00 am,Sunny.,2026-02-08T22:28:37.791283,8:00 am,12,3,56,-11.1,4.8,2026-02-08
"Washington, DC",9:00 am,Sunny.,2026-02-08T22:28:38.022215,9:00 am,17,3,48,-8.3,4.8,2026-02-08
"Washington, DC",10:00 am,Sunny.,2026-02-08T22:28:38.247486,10:00 am,22,4,42,-5.6,6.4,2026-02-08
"Washington, DC",11:00 am,Sunny.,2026-02-08T22:28:38.487711,11:00 am,26,4,37,-3.3,6.4,2026-02-08
"Washington, DC",12:00 pm,Sunny.,2026-02-08T22:28:38.760495,12:00 pm,29,4,35,-1.7,6.4,2026-02-08
"Washington, DC",1:00 pm,Sunny.,2026-02-08T22:28:38.974850,1:00 pm,31,4,34,-0.6,6.4,2026-02-08
"Washington, DC",2:00 pm,Scattered clouds.,2026-02-08T22:28:39.252551,2:00 pm,33,3,33,0.6,4.8,2026-02-08
"Washington, DC",3:00 pm,Broken clouds.,2026-02-08T22:28:39.466076,3:00 pm,33,3,33,0.6,4.8,2026-02-08
"Washington, DC",4:00 pm,Overcast.,2026-02-08T22:28:39.697660,4:00 pm,33,2,34,0.6,3.2,2026-02-08
"Washington, DC",5:00 pm,Overcast.,2026-02-08T22:28:39.927589,5:00 pm,32,1,37,0.0,1.6,2026-02-08
"Washington, DC",6:00 pm,Cloudy.,2026-02-08T22:28:40.128663,6:00 pm,30,0,42,-1.1,0.0,2026-02-08
"Washington, DC",7:00 pm,Cloudy.,2026-02-08T22:28:40.362255,7:00 pm,27,1,48,-2.8,1.6,2026-02-08
"Washington, DC",8:00 pm,Cloudy.,2026-02-08T22:28:40.613603,8:00 pm,26,2,51,-3.3,3.2,2026-02-08
"Washington, DC",9:00 pm,Overcast.,2026-02-08T22:28:40.844264,9:00 pm,25,2,51,-3.9,3.2,2026-02-08
"Washington, DC",10:00 pm,Overcast.,2026-02-08T22:28:41.075607,10:00 pm,26,3,50,-3.3,4.8,2026-02-08
"Washington, DC","1:00 pm
Mon, Feb 9",Broken clouds.,2026-02-09T12:19:52.256869,"1:00 pm
Mon, Feb 9",30,4,37,-1.1,6.4,2026-02-09
"Washington, DC",2:00 pm,Mostly cloudy.,2026-02-09T12:19:52.628639,2:00 pm,32,3,36,0.0,4.8,2026-02-09
"Washington, DC",3:00 pm,Mostly cloudy.,2026-02-09T12:19:52.882155,3:00 pm,33,2,37,0.6,3.2,2026-02-09
"Washington, DC",4:00 pm,Cloudy.,2026-02-09T12:19:53.094296,4:00 pm,32,2,39,0.0,3.2,2026-02-09
"Washington, DC",5:00 pm,Cloudy.,2026-02-09T12:19:53.405729,5:00 pm,31,1,42,-0.6,1.6,2026-02-09
"Washington, DC",6:00 pm,Overcast.,2026-02-09T12:19:53.689596,6:00 pm,29,0,47,-1.7,0.0,2026-02-09
"Washington, DC",7:00 pm,Overcast.,2026-02-09T12:19:53.899689,7:00 pm,26,1,52,-3.3,1.6,2026-02-09
"Washington, DC",8:00 pm,Overcast.,2026-02-09T12:19:54.172240,8:00 pm,24,2,56,-4.4,3.2,2026-02-09
"Washington, DC",9:00 pm,Overcast.,2026-02-09T12:19:54.460797,9:00 pm,23,2,56,-5.0,3.2,2026-02-09
"Washington, DC",10:00 pm,Overcast.,2026-02-09T12:19:54.745123,10:00 pm,23,3,56,-5.0,4.8,2026-02-09
"Washington, DC",11:00 pm,Overcast.,2026-02-09T12:19:55.010244,11:00 pm,24,3,55,-4.4,4.8,2026-02-09
"Washington, DC","12:00 am
Tue, Feb 10",Overcast.,2026-02-09T12:19:55.179324,"12:00 am
Tue, Feb 10",25,3,56,-3.9,4.8,2026-02-09
"Washington, DC",1:00 am,Overcast.,2026-02-09T12:19:55.429611,1:00 am,25,3,57,-3.9,4.8,2026-02-09
"Washington, DC",2:00 am,Overcast.,2026-02-09T12:19:55.559747,2:00 am,25,3,59,-3.9,4.8,2026-02-09
"Washington, DC",3:00 am,Overcast.,2026-02-09T12:19:55.680606,3:00 am,26,2,59,-3.3,3.2,2026-02-09
"Washington, DC",4:00 am,Overcast.,2026-02-09T12:19:55.946173,4:00 am,26,2,59,-3.3,3.2,2026-02-09
"Washington, DC",5:00 am,Overcast.,2026-02-09T12:19:56.450394,5:00 am,26,2,61,-3.3,3.2,2026-02-09
"Washington, DC",6:00 am,Overcast.,2026-02-09T12:20:03.496760,6:00 am,26,2,63,-3.3,3.2,2026-02-09
"Washington, DC",7:00 am,Cloudy.,2026-02-09T12:20:04.047192,7:00 am,26,3,65,-3.3,4.8,2026-02-09
"Washington, DC",8:00 am,Overcast.,2026-02-09T12:20:04.508091,8:00 am,26,2,64,-3.3,3.2,2026-02-09
"Washington, DC",9:00 am,Overcast.,2026-02-09T12:20:04.995532,9:00 am,29,1,61,-1.7,1.6,2026-02-09
"Washington, DC",10:00 am,Overcast.,2026-02-09T12:20:05.647733,10:00 am,33,1,57,0.6,1.6,2026-02-09
"Washington, DC",11:00 am,Overcast.,2026-02-09T12:20:06.228706,11:00 am,37,2,53,2.8,3.2,2026-02-09
"Washington, DC",12:00 pm,Overcast.,2026-02-09T12:20:06.847602,12:00 pm,41,3,50,5.0,4.8,2026-02-09
